Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_131,VGND,li1,66.0100,38.0800,0.000000
FILLER_9_125,VGND,li1,64.4000,38.0800,0.000000
FILLER_9_113,VGND,li1,60.2600,38.0800,0.000000
FILLER_9_111,VGND,li1,56.8100,38.0800,0.000000
FILLER_9_105,VGND,li1,55.2000,38.0800,0.000000
FILLER_9_99,VGND,li1,51.2900,38.0800,0.000000
FILLER_9_93,VGND,li1,49.6800,38.0800,0.000000
FILLER_9_81,VGND,li1,45.5400,38.0800,0.000000
FILLER_9_69,VGND,li1,40.0200,38.0800,0.000000
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000000
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000000
FILLER_9_51,VGND,li1,29.9000,38.0800,0.000000
FILLER_9_29,VGND,li1,19.0900,38.0800,0.000000
FILLER_9_25,VGND,li1,17.9400,38.0800,0.000000
FILLER_9_13,VGND,li1,11.7300,38.0800,0.000000
FILLER_9_3,VGND,li1,7.1300,38.0800,0.000000
FILLER_8_174,VGND,li1,88.3200,32.6400,0.000000
FILLER_8_166,VGND,li1,82.1100,32.6400,0.000000
FILLER_8_162,VGND,li1,80.9600,32.6400,0.000000
FILLER_8_147,VGND,li1,73.3700,32.6400,0.000000
FILLER_8_141,VGND,li1,71.7600,32.6400,0.000000
FILLER_8_139,VGND,li1,69.6900,32.6400,0.000000
FILLER_8_127,VGND,li1,66.7000,32.6400,0.000000
FILLER_8_115,VGND,li1,61.1800,32.6400,0.000000
FILLER_8_105,VGND,li1,54.2800,32.6400,0.000000
FILLER_8_85,VGND,li1,45.5400,32.6400,0.000000
FILLER_8_83,VGND,li1,43.9300,32.6400,0.000000
FILLER_8_75,VGND,li1,41.8600,32.6400,0.000000
FILLER_8_59,VGND,li1,32.8900,32.6400,0.000000
FILLER_8_51,VGND,li1,30.8200,32.6400,0.000000
FILLER_8_29,VGND,li1,19.3200,32.6400,0.000000
FILLER_8_26,VGND,li1,17.9400,32.6400,0.000000
FILLER_8_18,VGND,li1,15.6400,32.6400,0.000000
FILLER_8_7,VGND,li1,10.5800,32.6400,0.000000
FILLER_7_183,VGND,li1,90.3900,32.6400,0.000000
FILLER_7_152,VGND,li1,76.8200,32.6400,0.000000
FILLER_7_140,VGND,li1,72.6800,32.6400,0.000000
FILLER_7_118,VGND,li1,61.6400,32.6400,0.000000
FILLER_7_113,VGND,li1,57.7300,32.6400,0.000000
FILLER_7_111,VGND,li1,56.8100,32.6400,0.000000
FILLER_7_107,VGND,li1,55.6600,32.6400,0.000000
FILLER_7_95,VGND,li1,51.9800,32.6400,0.000000
FILLER_7_45,VGND,li1,27.6000,32.6400,0.000000
FILLER_7_33,VGND,li1,23.4600,32.6400,0.000000
FILLER_7_24,VGND,li1,17.4800,32.6400,0.000000
FILLER_7_3,VGND,li1,7.5900,32.6400,0.000000
FILLER_6_178,VGND,li1,89.2400,27.2000,0.000000
FILLER_6_170,VGND,li1,84.1800,27.2000,0.000000
FILLER_6_156,VGND,li1,77.9700,27.2000,0.000000
FILLER_6_138,VGND,li1,69.4600,27.2000,0.000000
FILLER_6_118,VGND,li1,60.4900,27.2000,0.000000
FILLER_6_110,VGND,li1,57.9600,27.2000,0.000000
FILLER_6_99,VGND,li1,51.5200,27.2000,0.000000
FILLER_6_91,VGND,li1,49.2200,27.2000,0.000000
FILLER_6_78,VGND,li1,41.8600,27.2000,0.000000
FILLER_6_66,VGND,li1,38.6400,27.2000,0.000000
FILLER_6_54,VGND,li1,31.7400,27.2000,0.000000
FILLER_6_47,VGND,li1,27.6000,27.2000,0.000000
FILLER_6_36,VGND,li1,23.4600,27.2000,0.000000
FILLER_6_20,VGND,li1,14.9500,27.2000,0.000000
FILLER_6_10,VGND,li1,11.0400,27.2000,0.000000
FILLER_6_3,VGND,li1,7.5900,27.2000,0.000000
FILLER_5_178,VGND,li1,89.2400,27.2000,0.000000
FILLER_5_169,VGND,li1,83.7200,27.2000,0.000000
FILLER_5_160,VGND,li1,80.9600,27.2000,0.000000
FILLER_5_130,VGND,li1,66.7000,27.2000,0.000000
FILLER_5_125,VGND,li1,63.4800,27.2000,0.000000
FILLER_5_113,VGND,li1,57.9600,27.2000,0.000000
FILLER_5_108,VGND,li1,56.1200,27.2000,0.000000
FILLER_5_93,VGND,li1,48.5300,27.2000,0.000000
FILLER_5_89,VGND,li1,47.3800,27.2000,0.000000
FILLER_5_78,VGND,li1,42.0900,27.2000,0.000000
FILLER_5_65,VGND,li1,35.6500,27.2000,0.000000
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000000
FILLER_5_44,VGND,li1,26.2200,27.2000,0.000000
FILLER_5_15,VGND,li1,14.2600,27.2000,0.000000
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000000
